,geometry,cluster
R14C54,"POLYGON ((11.8975003145 45.070003312839575, 11.890000318 45.070003312839575, 11.890000318 45.06500334394878, 11.8975003145 45.06500334394878, 11.8975003145 45.070003312839575))",11
R14C55,"POLYGON ((11.905000311 45.070003312839575, 11.8975003145 45.070003312839575, 11.8975003145 45.06500334394878, 11.905000311 45.06500334394878, 11.905000311 45.070003312839575))",11
R14C57,"POLYGON ((11.920000304 45.070003312839575, 11.9125003075 45.070003312839575, 11.9125003075 45.06500334394878, 11.920000304 45.06500334394878, 11.920000304 45.070003312839575))",11
R14C114,"POLYGON ((12.3475001045 45.070003312839575, 12.340000108 45.070003312839575, 12.340000108 45.06500334394878, 12.3475001045 45.06500334394878, 12.3475001045 45.070003312839575))",6
R14C115,"POLYGON ((12.355000101 45.070003312839575, 12.3475001045 45.070003312839575, 12.3475001045 45.06500334394878, 12.355000101 45.06500334394878, 12.355000101 45.070003312839575))",6
R15C38,"POLYGON ((11.7775003705 45.07500328173037, 11.770000374 45.07500328173037, 11.770000374 45.070003312839575, 11.7775003705 45.070003312839575, 11.7775003705 45.07500328173037))",11
R15C39,"POLYGON ((11.785000367 45.07500328173037, 11.7775003705 45.07500328173037, 11.7775003705 45.070003312839575, 11.785000367 45.070003312839575, 11.785000367 45.07500328173037))",11
R15C40,"POLYGON ((11.7925003635 45.07500328173037, 11.785000367 45.07500328173037, 11.785000367 45.070003312839575, 11.7925003635 45.070003312839575, 11.7925003635 45.07500328173037))",11
R15C41,"POLYGON ((11.80000036 45.07500328173037, 11.7925003635 45.07500328173037, 11.7925003635 45.070003312839575, 11.80000036 45.070003312839575, 11.80000036 45.07500328173037))",11
R15C42,"POLYGON ((11.8075003565 45.07500328173037, 11.80000036 45.07500328173037, 11.80000036 45.070003312839575, 11.8075003565 45.070003312839575, 11.8075003565 45.07500328173037))",11
R15C43,"POLYGON ((11.815000353 45.07500328173037, 11.8075003565 45.07500328173037, 11.8075003565 45.070003312839575, 11.815000353 45.070003312839575, 11.815000353 45.07500328173037))",11
R15C44,"POLYGON ((11.8225003495 45.07500328173037, 11.815000353 45.07500328173037, 11.815000353 45.070003312839575, 11.8225003495 45.070003312839575, 11.8225003495 45.07500328173037))",11
R15C53,"POLYGON ((11.890000318 45.07500328173037, 11.8825003215 45.07500328173037, 11.8825003215 45.070003312839575, 11.890000318 45.070003312839575, 11.890000318 45.07500328173037))",11
R15C54,"POLYGON ((11.8975003145 45.07500328173037, 11.890000318 45.07500328173037, 11.890000318 45.070003312839575, 11.8975003145 45.070003312839575, 11.8975003145 45.07500328173037))",11
R15C78,"POLYGON ((12.0775002305 45.07500328173037, 12.070000234 45.07500328173037, 12.070000234 45.070003312839575, 12.0775002305 45.070003312839575, 12.0775002305 45.07500328173037))",6
R15C81,"POLYGON ((12.10000022 45.07500328173037, 12.0925002235 45.07500328173037, 12.0925002235 45.070003312839575, 12.10000022 45.070003312839575, 12.10000022 45.07500328173037))",6
R15C113,"POLYGON ((12.340000108 45.07500328173037, 12.3325001115 45.07500328173037, 12.3325001115 45.070003312839575, 12.340000108 45.070003312839575, 12.340000108 45.07500328173037))",6
R15C114,"POLYGON ((12.3475001045 45.07500328173037, 12.340000108 45.07500328173037, 12.340000108 45.070003312839575, 12.3475001045 45.070003312839575, 12.3475001045 45.07500328173037))",6
R15C115,"POLYGON ((12.355000101 45.07500328173037, 12.3475001045 45.07500328173037, 12.3475001045 45.070003312839575, 12.355000101 45.070003312839575, 12.355000101 45.07500328173037))",6
R16C2,"POLYGON ((11.5075004965 45.08000325062116, 11.5000005 45.08000325062116, 11.5000005 45.07500328173037, 11.5075004965 45.07500328173037, 11.5075004965 45.08000325062116))",13
R16C10,"POLYGON ((11.5675004685 45.08000325062116, 11.560000472 45.08000325062116, 11.560000472 45.07500328173037, 11.5675004685 45.07500328173037, 11.5675004685 45.08000325062116))",13
R16C14,"POLYGON ((11.5975004545 45.08000325062116, 11.590000458 45.08000325062116, 11.590000458 45.07500328173037, 11.5975004545 45.07500328173037, 11.5975004545 45.08000325062116))",13
R16C15,"POLYGON ((11.605000451 45.08000325062116, 11.5975004545 45.08000325062116, 11.5975004545 45.07500328173037, 11.605000451 45.07500328173037, 11.605000451 45.08000325062116))",13
R16C39,"POLYGON ((11.785000367 45.08000325062116, 11.7775003705 45.08000325062116, 11.7775003705 45.07500328173037, 11.785000367 45.07500328173037, 11.785000367 45.08000325062116))",11
R16C40,"POLYGON ((11.7925003635 45.08000325062116, 11.785000367 45.08000325062116, 11.785000367 45.07500328173037, 11.7925003635 45.07500328173037, 11.7925003635 45.08000325062116))",11
R16C41,"POLYGON ((11.80000036 45.08000325062116, 11.7925003635 45.08000325062116, 11.7925003635 45.07500328173037, 11.80000036 45.07500328173037, 11.80000036 45.08000325062116))",11
R16C42,"POLYGON ((11.8075003565 45.08000325062116, 11.80000036 45.08000325062116, 11.80000036 45.07500328173037, 11.8075003565 45.07500328173037, 11.8075003565 45.08000325062116))",11
R16C60,"POLYGON ((11.9425002935 45.08000325062116, 11.935000297 45.08000325062116, 11.935000297 45.07500328173037, 11.9425002935 45.07500328173037, 11.9425002935 45.08000325062116))",11
R16C101,"POLYGON ((12.25000015 45.08000325062116, 12.2425001535 45.08000325062116, 12.2425001535 45.07500328173037, 12.25000015 45.07500328173037, 12.25000015 45.08000325062116))",6
R16C113,"POLYGON ((12.340000108 45.08000325062116, 12.3325001115 45.08000325062116, 12.3325001115 45.07500328173037, 12.340000108 45.07500328173037, 12.340000108 45.08000325062116))",6
R16C114,"POLYGON ((12.3475001045 45.08000325062116, 12.340000108 45.08000325062116, 12.340000108 45.07500328173037, 12.3475001045 45.07500328173037, 12.3475001045 45.08000325062116))",6
R16C115,"POLYGON ((12.355000101 45.08000325062116, 12.3475001045 45.08000325062116, 12.3475001045 45.07500328173037, 12.355000101 45.07500328173037, 12.355000101 45.08000325062116))",6
R17C14,"POLYGON ((11.5975004545 45.085003219511954, 11.590000458 45.085003219511954, 11.590000458 45.08000325062116, 11.5975004545 45.08000325062116, 11.5975004545 45.085003219511954))",13
R17C15,"POLYGON ((11.605000451 45.085003219511954, 11.5975004545 45.085003219511954, 11.5975004545 45.08000325062116, 11.605000451 45.08000325062116, 11.605000451 45.085003219511954))",13
R17C16,"POLYGON ((11.6125004475 45.085003219511954, 11.605000451 45.085003219511954, 11.605000451 45.08000325062116, 11.6125004475 45.08000325062116, 11.6125004475 45.085003219511954))",13
R17C40,"POLYGON ((11.7925003635 45.085003219511954, 11.785000367 45.085003219511954, 11.785000367 45.08000325062116, 11.7925003635 45.08000325062116, 11.7925003635 45.085003219511954))",11
R17C41,"POLYGON ((11.80000036 45.085003219511954, 11.7925003635 45.085003219511954, 11.7925003635 45.08000325062116, 11.80000036 45.08000325062116, 11.80000036 45.085003219511954))",11
